R,G,B,A
59,76,192,255
60,78,194,255
61,80,195,255
62,81,197,255
63,83,198,255
64,85,200,255
66,87,201,255
67,88,203,255
68,90,204,255
69,92,206,255
70,93,207,255
71,95,209,255
73,97,210,255
74,99,211,255
75,100,213,255
76,102,214,255
77,104,215,255
79,105,217,255
80,107,218,255
81,109,219,255
82,110,221,255
84,112,222,255
85,114,223,255
86,115,224,255
87,117,225,255
89,119,226,255
90,120,228,255
91,122,229,255
93,123,230,255
94,125,231,255
95,127,232,255
96,128,233,255
98,130,234,255
99,131,235,255
100,133,236,255
102,135,237,255
103,136,238,255
104,138,239,255
106,139,239,255
107,141,240,255
108,142,241,255
110,144,242,255
111,145,243,255
112,147,243,255
114,148,244,255
115,150,245,255
116,151,246,255
118,153,246,255
119,154,247,255
120,156,247,255
122,157,248,255
123,158,249,255
124,160,249,255
126,161,250,255
127,163,250,255
129,164,251,255
130,165,251,255
131,167,252,255
133,168,252,255
134,169,252,255
135,171,253,255
137,172,253,255
138,173,253,255
140,174,254,255
141,176,254,255
142,177,254,255
144,178,254,255
145,179,254,255
147,181,255,255
148,182,255,255
149,183,255,255
151,184,255,255
152,185,255,255
153,186,255,255
155,187,255,255
156,188,255,255
158,190,255,255
159,191,255,255
160,192,255,255
162,193,255,255
163,194,255,255
164,195,254,255
166,196,254,255
167,197,254,255
168,198,254,255
170,199,253,255
171,199,253,255
172,200,253,255
174,201,253,255
175,202,252,255
176,203,252,255
178,204,251,255
179,205,251,255
180,205,251,255
182,206,250,255
183,207,250,255
184,208,249,255
185,208,248,255
187,209,248,255
188,210,247,255
189,210,247,255
190,211,246,255
192,212,245,255
193,212,245,255
194,213,244,255
195,213,243,255
197,214,243,255
198,214,242,255
199,215,241,255
200,215,240,255
201,216,239,255
203,216,238,255
204,217,238,255
205,217,237,255
206,217,236,255
207,218,235,255
208,218,234,255
209,219,233,255
210,219,232,255
211,219,231,255
213,219,230,255
214,220,229,255
215,220,228,255
216,220,227,255
217,220,225,255
218,220,224,255
219,220,223,255
220,221,222,255
221,221,221,255
222,220,219,255
223,220,218,255
224,219,216,255
225,219,215,255
226,218,214,255
227,218,212,255
228,217,211,255
229,216,209,255
230,216,208,255
231,215,206,255
232,215,205,255
232,214,203,255
233,213,202,255
234,212,200,255
235,212,199,255
236,211,197,255
236,210,196,255
237,209,194,255
238,209,193,255
238,208,191,255
239,207,190,255
240,206,188,255
240,205,187,255
241,204,185,255
241,203,184,255
242,202,182,255
242,201,181,255
243,200,179,255
243,199,178,255
244,198,176,255
244,197,174,255
245,196,173,255
245,195,171,255
245,194,170,255
245,193,168,255
246,192,167,255
246,191,165,255
246,190,163,255
246,188,162,255
247,187,160,255
247,186,159,255
247,185,157,255
247,184,156,255
247,182,154,255
247,181,152,255
247,180,151,255
247,178,149,255
247,177,148,255
247,176,146,255
247,174,145,255
247,173,143,255
247,172,141,255
247,170,140,255
247,169,138,255
247,167,137,255
247,166,135,255
246,164,134,255
246,163,132,255
246,161,131,255
246,160,129,255
245,158,127,255
245,157,126,255
245,155,124,255
244,154,123,255
244,152,121,255
244,151,120,255
243,149,118,255
243,147,117,255
242,146,115,255
242,144,114,255
241,142,112,255
241,141,111,255
240,139,109,255
240,137,108,255
239,136,106,255
238,134,105,255
238,132,103,255
237,130,102,255
236,129,100,255
236,127,99,255
235,125,97,255
234,123,96,255
233,121,95,255
233,120,93,255
232,118,92,255
231,116,90,255
230,114,89,255
229,112,88,255
228,110,86,255
227,108,85,255
227,106,83,255
226,104,82,255
225,102,81,255
224,100,79,255
223,98,78,255
222,96,77,255
221,94,75,255
220,92,74,255
218,90,73,255
217,88,71,255
216,86,70,255
215,84,69,255
214,82,67,255
213,80,66,255
212,78,65,255
210,75,64,255
209,73,62,255
208,71,61,255
207,69,60,255
205,66,59,255
204,64,57,255
203,62,56,255
202,59,55,255
200,57,54,255
199,54,53,255
198,51,52,255
196,49,50,255
195,46,49,255
193,43,48,255
192,40,47,255
190,37,46,255
189,34,45,255
188,30,44,255
186,26,43,255
185,22,41,255
183,17,40,255
181,11,39,255
180,4,38,255
